,building,TAZ
0,Macy,5
1,Memorial Hall,3
2,Union Deck,1
3,Witherspoon Hall,4
4,Wallis Hall,Student_Union
5,Student Health Center,4
6,Miltimore Hall,Student_Union
7,Hickory,4
8,PORTAL,2
9,Softball Training Facility,2
10,Barnard,5
11,Rowe,Auxiliary_Services
12,Facilities Management & Police,4
13,Denny,5
14,RUP3,Student_Union
15,Cone,College_of_Health_and_Human_Services
16,Facilities Operations and Parking Services,4
17,Levine Hall,5
18,Miltimore-Wallis Center,College_of_Education
19,Cafeteria Activities Building,4
20,Lynch Hall,Student_Union
21,Irwin Belk Track Complex,3
22,Bioinformatics,2
23,King,College_of_Health_and_Human_Services
24,Grigg,2
25,Friday,5
26,Martin Hall,4
27,Colvard South,Cameron
28,Belk Hall,Student_Union
29,Scott Hall,3
30,Smith,Cameron
31,Jerry Richardson Stadium,2
32,Sycamore,4
33,Fretwell,5
34,Garinger,5
35,Atkins,College_of_Health_and_Human_Services
36,Belk Gym,3
37,Counseling Center,4
38,South Village Crossing,3
39,EPIC,2
40,Hunt Hall,3
41,Halton Wagner Tennis Complex,3
42,Reese,College_of_Health_and_Human_Services
43,Foundation,3
44,Johnson Band Center,5
45,Prospector,Auxiliary_Services
46,Cedar,4
47,Duke,2
48,Kennedy,Auxiliary_Services
49,Cato,5
50,Baseball Training Facility,2
51,Storrs,5
52,Robinson Hall,5
53,Harris Alumni Center,3
54,Barnhardt Student Activity Center,College_of_Education
